PublishTime,ListNumber,Writer,RealBookPrice,EBookPrice,Discount,BookUrl,BookName,NowBookPrice,Publisher,Tuijian
2006-05-01,1.,卡勒德·胡赛尼KhaledHosseini,¥29.00,¥5.99,6.2折,http://product.dangdang.com/23274638.html,追风筝的人,¥17.90,上海人民出版社,99.6%推荐
2014-05-01,2.,东野圭吾李盈春,¥39.50,¥11.85,5.9折,http://product.dangdang.com/23464478.html,解忧杂货店,¥23.50,南海出版社,99.7%推荐
2015-06-01,3.,克莱儿·麦克福尔,¥36.00,¥9.99,5.0折,http://product.dangdang.com/23694647.html,摆渡人,¥18.00,百花洲文艺出版社,99.6%推荐
2013-01-01,4.,东野圭吾刘姿君,¥39.50,,6.0折,http://product.dangdang.com/22935553.html,白夜行（东野圭吾推理小说无冕之王。全新精装典藏版。）,¥23.70,南海出版社,99.6%推荐
2003-07-01,5.,杨绛,¥23.00,¥0.01,7.5折,http://product.dangdang.com/22880790.html,我们仨（新版）,¥17.20,生活.读书.新知三联书店,99.2%推荐
2016-01-01,6.,高铭,¥39.80,,5.0折,http://product.dangdang.com/23822200.html,天才在左疯子在右（完整版）,¥19.90,北京联合出版公司,99.6%推荐
2015-05-01,7.,加布瑞埃拉泽文GabrielleZevin孙仲旭李玉瑶,¥35.00,¥9.99,6.9折,http://product.dangdang.com/23685329.html,岛上书店（每个人的生命中，都有无比艰难的那一年，将人生变得美,¥24.20,江苏文艺出版社,99.5%推荐
2014-06-01,8.,东野圭吾刘子倩,¥35.00,,5.1折,http://product.dangdang.com/23490646.html,嫌疑人X的献身,¥17.70,南海出版社,99.7%推荐
2013-12-01,9.,路遥,¥79.80,,6.0折,http://product.dangdang.com/22616096.html,平凡的世界（全三册）,¥47.90,北京十月文艺出版社,99.5%推荐
2010-11-01,10.,刘慈欣,¥93.00,¥9.00,5.0折,http://product.dangdang.com/23579654.html,三体：全三册（刘慈欣代表作，亚洲首部“雨果奖”获奖作品！）,¥46.40,重庆出版社,99.1%推荐
2013-11-01,11.,张嘉佳,¥36.00,¥9.99,6.0折,http://product.dangdang.com/23353342.html,从你的全世界路过 2014中国好书榜获奖图书,¥21.60,湖南文艺出版社,99.4%推荐
2011-06-01,12.,哥伦比亚马尔克斯范晔,¥39.50,,6.2折,http://product.dangdang.com/21090357.html,百年孤独,¥24.30,南海出版社,99.4%推荐
2016-05-01,13.,海莲·汉芙,¥35.00,,5.5折,http://product.dangdang.com/23954654.html,查令十字街84号(精装珍藏版）,¥19.10,译林出版社,99.3%推荐
2014-06-01,14.,汤木,¥32.00,¥8.99,4.6折,http://product.dangdang.com/23491236.html,将来的你，一定会感谢现在拼命的自己,¥14.60,天津人民出版社,99.2%推荐
2012-08-01,15.,布洛克张艳,¥32.80,,4.9折,http://product.dangdang.com/22812599.html,我爱幼儿园,¥16.20,北京科学技术出版社,99.3%推荐
2014-01-01,16.,龙应台,¥43.00,¥16.80,5.5折,http://product.dangdang.com/23407125.html,目送：龙应台“人生三书”之三（彩插新版）,¥23.50,广西师范大学出版社,99.6%推荐
1991-02-01,17.,钱钟书,¥39.00,,5.6折,http://product.dangdang.com/22819334.html,围城,¥22.00,人民文学出版社,99.5%推荐
2014-03-01,18.,余秋雨,¥38.00,¥1.35,6.3折,http://product.dangdang.com/23415029.html,文化苦旅,¥24.00,长江文艺出版社,99.6%推荐
2013-12-11,19.,三毛,¥24.00,,6.0折,http://product.dangdang.com/21127786.html,三毛：撒哈拉的故事,¥14.40,北京十月文艺出版社,99.5%推荐
2012-07-01,20.,马克·李维,¥29.80,¥6.99,5.9折,http://product.dangdang.com/22788959.html,偷影子的人,¥17.50,湖南文艺出版社,99.4%推荐
2010-04-01,481.,台湾牛顿出版公司,¥960.00,,4.1折,http://product.dangdang.com/20923585.html,小牛顿科学馆全集(全60册）,¥395.30,贵州教育出版社,99.5%推荐
2010-01-01,482.,七尾纯小林雅子今井弓子猿渡静子,¥88.00,,5.9折,http://product.dangdang.com/20791774.html,可爱的身体,¥51.90,南海出版社,99.3%推荐
2016-05-15,483.,中国营养学会,¥68.00,,6.4折,http://product.dangdang.com/23963010.html,中国居民膳食指南（2016）,¥43.60,人民卫生出版社,99.9%推荐
2016-05-04,484.,贝尔·格里尔斯,¥22.00,,7.4折,http://product.dangdang.com/23953204.html,荒野求生少年生存小说系列：9中国雨林的惊天一跃,¥16.30,接力出版社,100.0%推荐
2016-04-01,485.,中共中央宣传部,¥16.00,,7.9折,http://product.dangdang.com/23938278.html,习近平总书记系列重要讲话读本（2016年版）32开  团购电话：010-,¥12.60,学习出版社,99.9%推荐
2015-08-17,486.,Tango,¥39.80,,7.5折,http://product.dangdang.com/23751677.html,别做梦了,¥29.90,重庆大学出版社,98.6%推荐
